term,count,recommended_action,korean
phases,32,keep_or_define,
keywords,31,keep_or_define,
feature,31,keep_or_define,
Jailbreak Introduction,30,keep_or_define,
components,30,keep_or_define,
Bonus HP,30,keep_or_define,
Rewards,30,keep_or_define,
Square,30,keep_or_define,
social,30,keep_or_define,
Companions,29,keep_or_define,
Item Cards,29,keep_or_define,
Peaceful,29,keep_or_define,
skyshard,29,keep_or_define,
Explore,29,keep_or_define,
Even,29,keep_or_define,
Cache Chips,28,keep_or_define,
Overfatigue,28,keep_or_define,
Defeat,28,keep_or_define,
Black,28,keep_or_define,
Inventory,27,keep_or_define,
Unstable,27,keep_or_define,
Once,27,keep_or_define,
complete,26,keep_or_define,
Stats,26,keep_or_define,
Skill Lines,25,keep_or_define,
Completing,25,keep_or_define,
Challenge,25,keep_or_define,
Campaign Journal,24,keep_or_define,
Advancements,24,keep_or_define,
instructions,24,keep_or_define,
Legendary,24,keep_or_define,
explained,24,keep_or_define,
choices,24,keep_or_define,
gaining,24,keep_or_define,
toward,24,keep_or_define,
Keep,24,keep_or_define,
difficulty,23,keep_or_define,
battles,23,keep_or_define,
targets,23,keep_or_define,
Right,23,keep_or_define,
Using,23,keep_or_define,
Sequence,22,keep_or_define,
numbered,22,keep_or_define,
opposing,22,keep_or_define,
trainer,22,keep_or_define,
exhausted,21,keep_or_define,
Because,21,keep_or_define,
XP Dial,21,keep_or_define,
Adventurers Rest,20,keep_or_define,
Component,20,keep_or_define,
Argonian,20,keep_or_define,
features,20,keep_or_define,
keyword,20,keep_or_define,
Sheets,20,keep_or_define,
explorable,19,keep_or_define,
priority,19,keep_or_define,
Succeed,19,keep_or_define,
closest,19,keep_or_define,
True,19,keep_or_define,
Class Ability,18,keep_or_define,
Regardless,18,keep_or_define,
unoccupied,18,keep_or_define,
Determine,18,keep_or_define,
attempts,18,keep_or_define,
occupied,18,keep_or_define,
Outside,18,keep_or_define,
Gather,18,keep_or_define,
Levels,18,keep_or_define,
assist,18,keep_or_define,
Sight,18,keep_or_define,
Shield Discipline,17,keep_or_define,
Black Marsh,17,keep_or_define,
standard,17,keep_or_define,
Caches,17,keep_or_define,
Many,17,keep_or_define,
Most,17,keep_or_define,
successfully,16,keep_or_define,
triggering,16,keep_or_define,
drained,16,keep_or_define,
playing,16,keep_or_define,
Rounds,16,keep_or_define,
One Hand and Shield,15,keep_or_define,
Quest Units,15,keep_or_define,
Distance,15,keep_or_define,
location,15,keep_or_define,
attempt,15,keep_or_define,
outcome,15,keep_or_define,
recover,15,keep_or_define,
End of Battle,14,keep_or_define,
Guild Assist,14,keep_or_define,
achievements,14,keep_or_define,
Lockpicking,14,keep_or_define,
Continuing,14,keep_or_define,
traveling,14,keep_or_define,
Placing,14,keep_or_define,
Moving,14,keep_or_define,
limits,14,keep_or_define,
weapon,14,keep_or_define,
Aunit,14,keep_or_define,
Argonian Bandit,13,keep_or_define,
Town Encounters,13,keep_or_define,
Guild Card,13,keep_or_define,
Impassable,13,keep_or_define,
objectives,13,keep_or_define,
Obstacles,13,keep_or_define,
Procedure,13,keep_or_define,
Proceed,13,keep_or_define,
Across,13,keep_or_define,
Delve Exploration,12,keep_or_define,
Enemy Combat,12,keep_or_define,
Town Actions,12,keep_or_define,
targetable,12,keep_or_define,
Choosing,12,keep_or_define,
Conflict,12,keep_or_define,
Day Dial,12,keep_or_define,
Connect,12,keep_or_define,
Return,12,keep_or_define,
adjust,12,keep_or_define,
values,12,keep_or_define,
Blue,12,keep_or_define,
Read,12,keep_or_define,
Battle Objectives,11,keep_or_define,
Guild Quests,11,keep_or_define,
Recovery,11,keep_or_define,
Neither,11,keep_or_define,
Delves,11,keep_or_define,
NPC,11,keep_or_define,
First Player Token,10,keep_or_define,
Enemy Combat Dice,10,keep_or_define,
High Elf Bandit,10,keep_or_define,
Fatigue Dice,10,keep_or_define,
Important,10,keep_or_define,
Continue,10,keep_or_define,
Sessions,10,keep_or_define,
Lilmoth,10,keep_or_define,
overtax,10,keep_or_define,
reduce,10,keep_or_define,
Green,10,keep_or_define,
End of Battle Cleanup,9,keep_or_define,
Gather and Roll,9,keep_or_define,
Map Definitions,9,keep_or_define,
Overland Tokens,9,keep_or_define,
Starting Quest,9,keep_or_define,
achievement,9,keep_or_define,
Campaigns,9,keep_or_define,
Subtypes,9,keep_or_define,
examples,9,keep_or_define,
progress,9,keep_or_define,
Further,9,keep_or_define,
Rolling,9,keep_or_define,
limited,9,keep_or_define,
Expert,9,keep_or_define,
digits,9,keep_or_define,
Fully,9,keep_or_define,
Resolving Skill Abilities,8,keep_or_define,
Destruction Sta,8,keep_or_define,
Deploy Enemies,8,keep_or_define,
constellation,8,keep_or_define,
Stat Tokens,8,keep_or_define,
Party Size,8,keep_or_define,
Persistent,8,keep_or_define,
strongest,8,keep_or_define,
modifier,8,keep_or_define,
Several,8,keep_or_define,
Uncover,8,keep_or_define,
drawing,8,keep_or_define,
ongoing,8,keep_or_define,
shuffle,8,keep_or_define,
untrain,8,keep_or_define,
checks,8,keep_or_define,
Armor,8,keep_or_define,
Leave,8,keep_or_define,
Bree,8,keep_or_define,
What,8,keep_or_define,
Retreating from Battle,7,keep_or_define,
Defeated Adventurers,7,keep_or_define,
Delve Card Anatomy,7,keep_or_define,
Enemy Chip Anatomy,7,keep_or_define,
Traveling Caravans,7,keep_or_define,
Status Effects,7,keep_or_define,
Battle Rounds,7,keep_or_define,
First Session,7,keep_or_define,
Town Features,7,keep_or_define,
Session Di,7,keep_or_define,
Calculate,7,keep_or_define,
Card Tray,7,keep_or_define,
temporary,7,keep_or_define,
Removing,7,keep_or_define,
farthest,7,keep_or_define,
Clashes,7,keep_or_define,
storage,7,keep_or_define,
Unlike,7,keep_or_define,
escape,7,keep_or_define,
Adept,7,keep_or_define,
Gather and Roll Dice,6,keep_or_define,
Overfatigue Dice,6,keep_or_define,
Restoring Light,6,keep_or_define,
Adjacent Hexes,6,keep_or_define,
Item Keywords,6,keep_or_define,
Item Subtypes,6,keep_or_define,
Environment,6,keep_or_define,
foundation,6,keep_or_define,
selection,6,keep_or_define,
Although,6,keep_or_define,
Michael,6,keep_or_define,
Select,6,keep_or_define,
reveal,6,keep_or_define,
Logan,6,keep_or_define,
Traps,6,keep_or_define,
White,6,keep_or_define,
Flip,6,keep_or_define,
Skill Line Reference Sheets,5,keep_or_define,
Class Reference Sheet,5,keep_or_define,
Combat Skill Dice,5,keep_or_define,
Encounter Results,5,keep_or_define,
End of Session Di,5,keep_or_define,
Ryan and Shannon,5,keep_or_define,
Side Quest Cards,5,keep_or_define,
Targetable Units,5,keep_or_define,
Enemy Movement,5,keep_or_define,
Major Keywords,5,keep_or_define,
Unstable Die,5,keep_or_define,
Necromancer,5,keep_or_define,
Apprentice,5,keep_or_define,
How to Use,5,keep_or_define,
Provinces,5,keep_or_define,
interrupt,5,keep_or_define,
Populate,5,keep_or_define,
Spriggan,5,keep_or_define,
Failing,5,keep_or_define,
subtype,5,keep_or_define,
Reset,5,keep_or_define,
Josh,5,keep_or_define,
Stop,5,keep_or_define,
Triggering Class Abilities,4,keep_or_define,
Damage Language and Type,4,keep_or_define,
Drawing Cards and Tiles,4,keep_or_define,
Overland Card Anatomy,4,keep_or_define,
First to Take Damage,4,keep_or_define,
Ending the Session,4,keep_or_define,
Delve Enemy Pool,4,keep_or_define,
Glyph of Stamina,4,keep_or_define,
Mending Fences,4,keep_or_define,
Non-adventurer,4,keep_or_define,
Tutorial Guide,4,keep_or_define,
Delve Feature,4,keep_or_define,
Group Actions,4,keep_or_define,
Class Sheets,4,keep_or_define,
Disassemble,4,keep_or_define,
Units React,4,keep_or_define,
Delve Deck,4,keep_or_define,
Performing,4,keep_or_define,
Exploring,4,keep_or_define,
Health HP,4,keep_or_define,
Undaunted,4,keep_or_define,
Dark Elf,4,keep_or_define,
Epilogue,4,keep_or_define,
Zeni Max,4,keep_or_define,
Abattle,4,keep_or_define,
Certain,4,keep_or_define,
Alevel,4,keep_or_define,
Fourth,4,keep_or_define,
Shadow,4,keep_or_define,
Though,4,keep_or_define,
Brown,4,keep_or_define,
Slide,4,keep_or_define,
Watch,4,keep_or_define,
Ahex,4,keep_or_define,
Sort,4,keep_or_define,
